Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Criar Item,3375,1447,12,7608,"793,34","0,000%","18,67964","3,68","4,52","201,9"
Listar Itens,3352,1012,10,4684,"563,22","0,000%","18,55727","139,72","2,21","7710,0"
TOTAL,6727,1230,10,7608,"721,80","0,000%","37,23198","143,37","6,73","3943,1"
