Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Criar Item,3375,1447,1306,2402,2910,4117,12,7608,"0,000%","18,67964","3,68","4,52"
Listar Itens,3352,1012,900,1695,2065,2972,10,4684,"0,000%","18,55727","139,72","2,21"
TOTAL,6727,1230,1098,2105,2585,3716,10,7608,"0,000%","37,23198","143,37","6,73"
