Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Criar Item,2438,489,11,907,"159,94","0,000%","20,27173","4,00","4,91","201,9"
Listar Itens,2425,418,9,859,"140,08","0,000%","20,16917","151,86","2,40","7710,0"
TOTAL,4863,454,9,907,"154,53","0,000%","40,43537","155,81","7,31","3945,9"
